CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D
Q6C6P0	YALI0E07766g1_1	3.4697E-06	6.9594E-06	9.95145E-06	4.90707E-06	1.43138E-06	1.61065E-06	6.85746E-07	7.69369E-06	1.55092E-05	3.2179E-06	6.54227E-06
Q6CGX5	YALI0A15147g1_1	5.36891E-07	6.72357E-07	1.53986E-06	1.47481E-06	2.1435E-06	4.84078E-07	6.41158E-07	2.7477E-06	1.66537E-06	9.67137E-07	2.65027E-06
Q6CDH3	YALI0C00539g1_1	3.08395E-05	3.0379E-05	2.43244E-05	2.52343E-05	1.17894E-05	1.73608E-05	1.36513E-05	1.9843E-05	1.6425E-05	1.40467E-05	2.15541E-05
Q6C1X5	YALI0F12639g1_1	6.23929E-06	2.93587E-06	4.40838E-06	5.50934E-06	3.95515E-06	2.7787E-06	2.20219E-06	6.83369E-06	5.96856E-06	6.63841E-06	1.10038E-05
Q6C592	YALI0E20031g1_1	5.65258E-05	5.03862E-05	8.13435E-05	6.61319E-05	6.88687E-05	5.62841E-05	7.09917E-05	7.47294E-05	6.22435E-05	8.66662E-05	8.9694E-05
Q6CDT1	YALI0B21428g1_1	1.7935E-05	2.03379E-05	1.81574E-05	1.73904E-05	1.67491E-05	2.02439E-05	1.65072E-05	1.40379E-05	1.61931E-05	1.70359E-05	1.91189E-05
Q6BZY1	YALI0F30019g1_1	8.19818E-06	9.43968E-06	8.83485E-06	7.23905E-06	6.21434E-06	3.88383E-06	4.83586E-06	4.62292E-06	4.29505E-06	6.8408E-06	8.4197E-06
Q6C781	YALI0E03036g1_1	2.2035E-05	3.0895E-05	2.52798E-05	3.48903E-05	2.99515E-05	2.47227E-05	3.10863E-05	2.51557E-05	3.01935E-05	2.87633E-05	2.24007E-05
Q6CEV6	YALI0B12562g1_1	3.2039E-05	2.70337E-05	1.70265E-05	2.198E-05	1.4798E-05	1.15551E-05	8.28675E-06	1.31636E-05	1.54966E-05	1.64322E-05	1.76355E-05
Q6CAT7	YALI0C24420g1_1	1.55417E-05	2.70337E-05	1.70265E-05	1.63073E-05	1.32173E-05	8.22477E-06	9.55557E-06	1.46308E-05	1.99457E-05	1.64322E-05	2.03358E-05
Q6C7U9	YALI0D25168g1_1	3.2614E-05	4.53953E-05	3.34199E-05	3.88164E-05	4.41644E-05	5.92084E-05	3.27766E-05	2.76237E-05	3.07635E-05	3.02473E-05	2.3798E-05
